level,module_id,status,vendor,part_number,description,qty,unit,order_length_in,source_url,action_required
module,BN-M04,SOURCE_REQUIRED,Dometic,,"VA8000 Series sink; candidate only",1,pc,,https://www.dometic.com/en-ca/category/rv-and-van/rv-kitchen/rv-sinks,"Select exact SKU and obtain official cutout drawing"
module,BN-M04,SOURCE_REQUIRED,TBD,,"Food-safe faucet pump hose drain and grey-water set",1,set,,,"Plumbing design and leak test required"
module,BN-M05,ORDERABLE,Reliance,9410-03R,"7 gallon Aqua-Tainer 11.5x11.25x15.75",1,pc,,https://relianceoutdoors.com/products/aqua-tainer-4g-15l,"Verify reseller/drop-ship terms"
module,BN-M05,SOURCE_REQUIRED,TBD,,"Food-safe 12V pump hose and spill tray",1,set,,,"Size for 7G tank and define fuse/current"
module,BN-M06,REJECTED_DOES_NOT_FIT,Milwaukee,48-22-8424,"PACKOUT Tool Box 22.1in wide",0,pc,,https://www.milwaukeetool.com/products/details/packout-tool-box/48-22-8424,"Exceeds 22in clear width by 0.1in; do not buy for this frame"
module,BN-M06,SOURCE_REQUIRED,TBD,,"Sealed utility box <=21.5W x 16D x 6.5H",1,pc,,,"Source rated SKU and define recovery payload"
module,BN-M07,ORDERABLE,EcoFlow,EF-RV-H02-1,"RIVER 3 Plus 286Wh power station",1,pc,,https://us.ecoflow.com/products/river-3-plus-portable-power-station,"Verify stock reseller terms and required ventilation"
module,BN-M07,CUSTOM_REQUIRED,TBD,,"Flat vented shelf and cable bulkhead panel",2,pc,,,"Open-area thermal calculation and grommet selection"
module,BN-M08,ORDERABLE,Joolca,,"HOTTAP V2 Essentials",1,pc,,https://www.joolca.com/products/hottap-v2?country=US,"Confirm US SKU; transport only and deploy outdoors"
module,BN-M08,SOURCE_REQUIRED,TBD,,"Ventilated hose bag and restraint",1,set,,,"Wet storage/drying test; propane separate"
module,BN-M09,ORDERABLE,Pelican,,"1485 Air Case 19.18x12.99x6.88",1,pc,,https://www.pelican.com/us/en/product/cases/air/1485,"Select foam/divider configuration and verify reseller terms"
module,BN-M09,CUSTOM_REQUIRED,TBD,,"Flat deployable work surface 21.5x17.5",1,pc,,,"Source hinge latch and support cable"
module,BN-M10,SOURCE_REQUIRED,TBD,,"Target camp chair/table/soft-goods set <=21.5x17.5x15.5",1,set,,,"Choose actual product set before detail CAD"
module,BN-M10,SOURCE_REQUIRED,TBD,,"Rated cargo net and compression straps",1,set,,,"Source UV/abrasion-rated hardware"
