module_id,catalog_id,status,ots_class,vendor,part_number,description,quantity,unit,order_url,evidence_url,module_use,catalog_notes,ots_rationale
BN-M01,SOUTHCO-E3-57-25,ORDERABLE_ENGINEERING_HOLD,OTS_STOCK,Southco,E3-57-25,Small black knob-style VISE ACTION compression latch,2,pc,https://shop.southco.com/e3-57-25,https://shop.southco.com/e3-57-25,Stove tray and cookware drawer,Grip range 6.4-9.5 mm; confirm cam geometry and panel stack before order.,"catalogue latch; its panel cut-out belongs to the panel, not to this part"
BN-M02,TNUTZ-EX1010-18,ORDERABLE,OTS_STOCK,TNUTZ,EX-1010,"1 x 1 inch smooth 10-Series aluminum extrusion, cut to 18 inches",8,pc,https://www.tnutz.com/product/ex-1010/,https://www.tnutz.com/product/ex-1010/,Exact 18-inch cut; no machining for bracket prototype,"Select 18-inch length, no machining; 8 per module.","orderable length from the product dropdown (1-96 in, 1/16 in steps); no saw, no cut fee shown"
BN-M02,TNUTZ-EX1010-22,ORDERABLE,OTS_STOCK,TNUTZ,EX-1010,"1 x 1 inch smooth 10-Series aluminum extrusion, cut to 22 inches",4,pc,https://www.tnutz.com/product/ex-1010/,https://www.tnutz.com/product/ex-1010/,Exact 22-inch cut; no machining for bracket prototype,"Select 22-inch length, no machining; 4 per module.",same dropdown; 22 in is a catalogue selection
BN-M02,8020-4132,ENGINEERING_HOLD,OTS_STOCK,80/20,4132,10-Series black gusseted inside corner bracket,24,pc,https://8020.net/4132.html,https://8020.net/4132.html,Prototype quantity only; joint release requires dynamic test,Prototype joint candidate; 24 per frame. Dynamic-load test required.,"catalogue bracket, buy as-is"
BN-M02,8020-3393,ENGINEERING_HOLD,OTS_STOCK,80/20,3393,1/4-20 x 0.500 inch bolt and slide-in economy T-nut assembly for bracket 4132,48,pc,https://8020.net/3393.html,https://8020.net/3393.html,Two compatible assemblies per 4132 bracket,Two assemblies per 4132 bracket; 48 per frame.,"catalogue fastener assembly, buy as-is"
BN-M02,TNUTZ-HAN015AL,ORDERABLE_CHECK_STOCK,OTS_STOCK,TNUTZ,HAN-015-AL,Black aluminum carry handle with 10-Series mounting hardware,2,pc,https://www.tnutz.com/product/han-015-al/,https://www.tnutz.com/product/han-015-al/,Carry handles are not authorized for a loaded lift until tested,Two per module; obtain current load rating before lifting a loaded module.,catalogue handle with its mounting hardware
BN-M02,TNUTZ-GAS010A,ORDERABLE,OTS_STOCK,TNUTZ,GAS-010-A,10-Series panel gasket for approximately 3/16-inch panels,20,ft,https://www.tnutz.com/product/gas-010-a/,https://www.tnutz.com/product/gas-010-a/,Allowance including trim; replace with drawing-derived length,"Prototype allowance 20 ft per module, trim after panel drawings.","sold by the foot; trimmed by hand, no machining"
BN-M02,TNUTZ-BUM010TS,ORDERABLE,OTS_STOCK,TNUTZ,BUM-010-TS,10-Series anti-skid rubber tread strip,8,ft,https://www.tnutz.com/product/bum-010-ts/,https://www.tnutz.com/product/bum-010-ts/,Allowance for lower perimeter,Prototype allowance 8 ft per module; verify vehicle-floor compatibility.,"sold by the foot; trimmed by hand, no machining"
BN-M02,TAP-HYPACT-PANEL,ORDERABLE_CUSTOM_CUT,CUSTOM_FLAT,TAP Plastics,King Hy-Pact custom cut,"Black UV-stabilized polymer sheet cut to size for skins, trays, dividers, and non-hot work surfaces",1,cut-panel lot,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/hypact_vhmw_polyethylene/527,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/hypact_vhmw_polyethylene/527,Order only from released DXF/panel drawings,Upload final panel dimensions and holes only after tolerance drawings; thickness is module-specific.,flat sheet cut to size from a released DXF; satisfies the standing flat-plate rule
BN-M02,RUBBERMAID-FG350700WHT,DEALER_ORDER,OTS_STOCK,Rubbermaid Commercial,FG350700WHT,2-gallon 18 x 12 x 3.5 inch polyethylene Food/Tote box,3,pc,https://www.rubbermaidcommercial.com/foodservice/food-storage/foodtote-boxes-polyethylene/?sku=FG350700WHT,https://www.rubbermaidcommercial.com/foodservice/food-storage/foodtote-boxes-polyethylene/?sku=FG350700WHT,Shallow pantry bins; matching lids also required from dealer,Three shallow boxes fit the pantry concept vertically; select matching lids through the manufacturer/dealer and confirm actual stacked/lid clearance.,commercial catalogue tote
BN-M02,ACCURIDE-3832-C16,DEALER_ORDER_ENGINEERING_HOLD,OTS_STOCK,Accuride,3832-C16,16-inch full-extension side-mount drawer-slide pair,3,pair,https://www.accuride.com/en-us/products/3832ec-easy-close-light-duty-slide,https://www.accuride.com/media/amasty/amfile/attach/d4ba99d10b86f194bef3fdc51f9ccb24.pdf,Three drawers,"Representative shared 3832 family; verify exact suffix, load, side clearance, lock behavior, and corrosion finish before order.",catalogue slide pair
BN-M02,SOUTHCO-E3-57-25,ORDERABLE_ENGINEERING_HOLD,OTS_STOCK,Southco,E3-57-25,Small black knob-style VISE ACTION compression latch,3,pc,https://shop.southco.com/e3-57-25,https://shop.southco.com/e3-57-25,One per drawer,Grip range 6.4-9.5 mm; confirm cam geometry and panel stack before order.,"catalogue latch; its panel cut-out belongs to the panel, not to this part"
BN-M03,TNUTZ-EX1010-18,ORDERABLE,OTS_STOCK,TNUTZ,EX-1010,"1 x 1 inch smooth 10-Series aluminum extrusion, cut to 18 inches",8,pc,https://www.tnutz.com/product/ex-1010/,https://www.tnutz.com/product/ex-1010/,Exact 18-inch cut; no machining for bracket prototype,"Select 18-inch length, no machining; 8 per module.","orderable length from the product dropdown (1-96 in, 1/16 in steps); no saw, no cut fee shown"
BN-M03,TNUTZ-EX1010-22,ORDERABLE,OTS_STOCK,TNUTZ,EX-1010,"1 x 1 inch smooth 10-Series aluminum extrusion, cut to 22 inches",4,pc,https://www.tnutz.com/product/ex-1010/,https://www.tnutz.com/product/ex-1010/,Exact 22-inch cut; no machining for bracket prototype,"Select 22-inch length, no machining; 4 per module.",same dropdown; 22 in is a catalogue selection
BN-M03,8020-4132,ENGINEERING_HOLD,OTS_STOCK,80/20,4132,10-Series black gusseted inside corner bracket,24,pc,https://8020.net/4132.html,https://8020.net/4132.html,Prototype quantity only; joint release requires dynamic test,Prototype joint candidate; 24 per frame. Dynamic-load test required.,"catalogue bracket, buy as-is"
BN-M03,8020-3393,ENGINEERING_HOLD,OTS_STOCK,80/20,3393,1/4-20 x 0.500 inch bolt and slide-in economy T-nut assembly for bracket 4132,48,pc,https://8020.net/3393.html,https://8020.net/3393.html,Two compatible assemblies per 4132 bracket,Two assemblies per 4132 bracket; 48 per frame.,"catalogue fastener assembly, buy as-is"
BN-M03,TNUTZ-HAN015AL,ORDERABLE_CHECK_STOCK,OTS_STOCK,TNUTZ,HAN-015-AL,Black aluminum carry handle with 10-Series mounting hardware,2,pc,https://www.tnutz.com/product/han-015-al/,https://www.tnutz.com/product/han-015-al/,Carry handles are not authorized for a loaded lift until tested,Two per module; obtain current load rating before lifting a loaded module.,catalogue handle with its mounting hardware
BN-M03,TNUTZ-GAS010A,ORDERABLE,OTS_STOCK,TNUTZ,GAS-010-A,10-Series panel gasket for approximately 3/16-inch panels,20,ft,https://www.tnutz.com/product/gas-010-a/,https://www.tnutz.com/product/gas-010-a/,Allowance including trim; replace with drawing-derived length,"Prototype allowance 20 ft per module, trim after panel drawings.","sold by the foot; trimmed by hand, no machining"
BN-M03,TNUTZ-BUM010TS,ORDERABLE,OTS_STOCK,TNUTZ,BUM-010-TS,10-Series anti-skid rubber tread strip,8,ft,https://www.tnutz.com/product/bum-010-ts/,https://www.tnutz.com/product/bum-010-ts/,Allowance for lower perimeter,Prototype allowance 8 ft per module; verify vehicle-floor compatibility.,"sold by the foot; trimmed by hand, no machining"
BN-M03,TAP-HYPACT-PANEL,ORDERABLE_CUSTOM_CUT,CUSTOM_FLAT,TAP Plastics,King Hy-Pact custom cut,"Black UV-stabilized polymer sheet cut to size for skins, trays, dividers, and non-hot work surfaces",1,cut-panel lot,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/hypact_vhmw_polyethylene/527,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/hypact_vhmw_polyethylene/527,Order only from released DXF/panel drawings,Upload final panel dimensions and holes only after tolerance drawings; thickness is module-specific.,flat sheet cut to size from a released DXF; satisfies the standing flat-plate rule
BN-M03,ENGEL-MD14,SOLD_OUT,OTS_STOCK,Engel,MD-14F,15-quart top-opening 12V fridge/freezer,0,pc,https://engelcoolers.com/products/md14-ems-ambulance-fridge,https://engelcoolers.com/products/md14-ems-ambulance-fridge,Rejected from buy-ready BOM because manufacturer shows sold out,Do not rely on this as buy-ready until Engel restocks.,consumer product bought whole
BN-M03,ENGEL-MHD13-ALT,ORDERABLE_ALTERNATE_VERIFY,OTS_STOCK,Engel / Zoro,MHD13F-DM / Zoro G7673053,14-quart top-opening 12/24V fridge/freezer/warmer alternate,1,pc,https://www.zoro.com/engel-marine-chest-cooler-140-qt-capacity-mhd13f-dm/i/G7673053/,https://engelcoolers.com/products/mhd13-ems-ambulance-fridge,Procurement alternate; verify dimensions and intended use,"Retailer listed an order page on research date; verify dimensional discrepancy, intended food use, warranty and availability before purchase.",consumer product bought whole
BN-M03,ACCURIDE-3832-C16,DEALER_ORDER_ENGINEERING_HOLD,OTS_STOCK,Accuride,3832-C16,16-inch full-extension side-mount drawer-slide pair,1,pair,https://www.accuride.com/en-us/products/3832ec-easy-close-light-duty-slide,https://www.accuride.com/media/amasty/amfile/attach/d4ba99d10b86f194bef3fdc51f9ccb24.pdf,Fridge slide tray,"Representative shared 3832 family; verify exact suffix, load, side clearance, lock behavior, and corrosion finish before order.",catalogue slide pair
BN-M03,NRS-HD-STRAP,ORDERABLE_ENGINEERING_HOLD,OTS_STOCK,NRS,1-inch HD Tie-Down Strap,UV-protected one-inch polypropylene cam strap; select field-fit length,2,pc,https://www.nrs.com/nrs-1-hd-tie-down-straps/p4yc,https://www.nrs.com/nrs-1-hd-tie-down-straps/p4yc,Select field-fit length after restraint test,"Published 500-lb WLL, but module anchor/load path still requires engineering and dynamic testing.",catalogue cam strap
BN-M04,TNUTZ-EX1010-18,ORDERABLE,OTS_STOCK,TNUTZ,EX-1010,"1 x 1 inch smooth 10-Series aluminum extrusion, cut to 18 inches",8,pc,https://www.tnutz.com/product/ex-1010/,https://www.tnutz.com/product/ex-1010/,Exact 18-inch cut; no machining for bracket prototype,"Select 18-inch length, no machining; 8 per module.","orderable length from the product dropdown (1-96 in, 1/16 in steps); no saw, no cut fee shown"
BN-M04,TNUTZ-EX1010-22,ORDERABLE,OTS_STOCK,TNUTZ,EX-1010,"1 x 1 inch smooth 10-Series aluminum extrusion, cut to 22 inches",4,pc,https://www.tnutz.com/product/ex-1010/,https://www.tnutz.com/product/ex-1010/,Exact 22-inch cut; no machining for bracket prototype,"Select 22-inch length, no machining; 4 per module.",same dropdown; 22 in is a catalogue selection
BN-M04,8020-4132,ENGINEERING_HOLD,OTS_STOCK,80/20,4132,10-Series black gusseted inside corner bracket,24,pc,https://8020.net/4132.html,https://8020.net/4132.html,Prototype quantity only; joint release requires dynamic test,Prototype joint candidate; 24 per frame. Dynamic-load test required.,"catalogue bracket, buy as-is"
BN-M04,8020-3393,ENGINEERING_HOLD,OTS_STOCK,80/20,3393,1/4-20 x 0.500 inch bolt and slide-in economy T-nut assembly for bracket 4132,48,pc,https://8020.net/3393.html,https://8020.net/3393.html,Two compatible assemblies per 4132 bracket,Two assemblies per 4132 bracket; 48 per frame.,"catalogue fastener assembly, buy as-is"
BN-M04,TNUTZ-HAN015AL,ORDERABLE_CHECK_STOCK,OTS_STOCK,TNUTZ,HAN-015-AL,Black aluminum carry handle with 10-Series mounting hardware,2,pc,https://www.tnutz.com/product/han-015-al/,https://www.tnutz.com/product/han-015-al/,Carry handles are not authorized for a loaded lift until tested,Two per module; obtain current load rating before lifting a loaded module.,catalogue handle with its mounting hardware
BN-M04,TNUTZ-GAS010A,ORDERABLE,OTS_STOCK,TNUTZ,GAS-010-A,10-Series panel gasket for approximately 3/16-inch panels,20,ft,https://www.tnutz.com/product/gas-010-a/,https://www.tnutz.com/product/gas-010-a/,Allowance including trim; replace with drawing-derived length,"Prototype allowance 20 ft per module, trim after panel drawings.","sold by the foot; trimmed by hand, no machining"
BN-M04,TNUTZ-BUM010TS,ORDERABLE,OTS_STOCK,TNUTZ,BUM-010-TS,10-Series anti-skid rubber tread strip,8,ft,https://www.tnutz.com/product/bum-010-ts/,https://www.tnutz.com/product/bum-010-ts/,Allowance for lower perimeter,Prototype allowance 8 ft per module; verify vehicle-floor compatibility.,"sold by the foot; trimmed by hand, no machining"
BN-M04,TAP-HYPACT-PANEL,ORDERABLE_CUSTOM_CUT,CUSTOM_FLAT,TAP Plastics,King Hy-Pact custom cut,"Black UV-stabilized polymer sheet cut to size for skins, trays, dividers, and non-hot work surfaces",1,cut-panel lot,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/hypact_vhmw_polyethylene/527,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/hypact_vhmw_polyethylene/527,Order only from released DXF/panel drawings,Upload final panel dimensions and holes only after tolerance drawings; thickness is module-specific.,flat sheet cut to size from a released DXF; satisfies the standing flat-plate rule
BN-M04,DOMETIC-VA8005,ORDERABLE,OTS_STOCK,Dometic,VA8005 / 9102303252,Square stainless sink with glass cover and AC 540 siphon,1,pc,https://www.dometic.com/en-us/product/dometic-va8000-series-square-sink-with-1-hole-faucet-glass-cover-9102303252?v=9102303252,https://www.dometic.com/en-us/product/dometic-va8000-series-square-sink-with-1-hole-faucet-glass-cover-9102303252?v=9102303252,Sink and siphon,Direct page showed ready-to-ship status; faucet is sold separately.,catalogue sink and siphon
BN-M04,SHURFLO-4008,DEALER_ORDER_ENGINEERING_HOLD,OTS_STOCK,Pentair Shurflo,4008-101-E65,12V 3-GPM Revolution fresh-water demand pump,1,pc,https://www.pentair.com/en-us/flow/shurflo/shurflo-products/shurflo-rv-applications/water-delivery-pumps/shurflo-revolution-4008-series-by-pass-pump/sku/4008-101-e65.html,https://www.pentair.com/en-us/flow/shurflo/shurflo-products/shurflo-rv-applications/water-delivery-pumps/shurflo-revolution-4008-series-by-pass-pump/sku/4008-101-e65.html,Demand pump; install accessories remain schematic-dependent,"Requires flexible high-pressure hose, 10-A fuse, 12V wiring, connectors, and pressure-compatible plumbing selected after schematic review.",catalogue pump
BN-M04,RELIANCE-AQUATAINER-4G,DEALER_ORDER,OTS_STOCK,Reliance Outdoors,9405-03R,4-gallon Aqua-Tainer for removable grey-water prototype,1,pc,https://relianceoutdoors.com/collections/aqua-storage/products/aqua-tainer-4g-15l,https://relianceoutdoors.com/collections/aqua-storage/products/aqua-tainer-4g-15l,Dedicated and permanently labeled grey-water container,Manufacturer no longer sells direct; use its dealer locator. Permanently label grey-water use and never return it to potable service.,consumer container bought whole
BN-M04,NRS-HD-STRAP,ORDERABLE_ENGINEERING_HOLD,OTS_STOCK,NRS,1-inch HD Tie-Down Strap,UV-protected one-inch polypropylene cam strap; select field-fit length,2,pc,https://www.nrs.com/nrs-1-hd-tie-down-straps/p4yc,https://www.nrs.com/nrs-1-hd-tie-down-straps/p4yc,Grey tank restraint,"Published 500-lb WLL, but module anchor/load path still requires engineering and dynamic testing.",catalogue cam strap
BN-M05,TNUTZ-EX1010-18,ORDERABLE,OTS_STOCK,TNUTZ,EX-1010,"1 x 1 inch smooth 10-Series aluminum extrusion, cut to 18 inches",8,pc,https://www.tnutz.com/product/ex-1010/,https://www.tnutz.com/product/ex-1010/,Exact 18-inch cut; no machining for bracket prototype,"Select 18-inch length, no machining; 8 per module.","orderable length from the product dropdown (1-96 in, 1/16 in steps); no saw, no cut fee shown"
BN-M05,TNUTZ-EX1010-22,ORDERABLE,OTS_STOCK,TNUTZ,EX-1010,"1 x 1 inch smooth 10-Series aluminum extrusion, cut to 22 inches",4,pc,https://www.tnutz.com/product/ex-1010/,https://www.tnutz.com/product/ex-1010/,Exact 22-inch cut; no machining for bracket prototype,"Select 22-inch length, no machining; 4 per module.",same dropdown; 22 in is a catalogue selection
BN-M05,8020-4132,ENGINEERING_HOLD,OTS_STOCK,80/20,4132,10-Series black gusseted inside corner bracket,24,pc,https://8020.net/4132.html,https://8020.net/4132.html,Prototype quantity only; joint release requires dynamic test,Prototype joint candidate; 24 per frame. Dynamic-load test required.,"catalogue bracket, buy as-is"
BN-M05,8020-3393,ENGINEERING_HOLD,OTS_STOCK,80/20,3393,1/4-20 x 0.500 inch bolt and slide-in economy T-nut assembly for bracket 4132,48,pc,https://8020.net/3393.html,https://8020.net/3393.html,Two compatible assemblies per 4132 bracket,Two assemblies per 4132 bracket; 48 per frame.,"catalogue fastener assembly, buy as-is"
BN-M05,TNUTZ-HAN015AL,ORDERABLE_CHECK_STOCK,OTS_STOCK,TNUTZ,HAN-015-AL,Black aluminum carry handle with 10-Series mounting hardware,2,pc,https://www.tnutz.com/product/han-015-al/,https://www.tnutz.com/product/han-015-al/,Carry handles are not authorized for a loaded lift until tested,Two per module; obtain current load rating before lifting a loaded module.,catalogue handle with its mounting hardware
BN-M05,TNUTZ-GAS010A,ORDERABLE,OTS_STOCK,TNUTZ,GAS-010-A,10-Series panel gasket for approximately 3/16-inch panels,20,ft,https://www.tnutz.com/product/gas-010-a/,https://www.tnutz.com/product/gas-010-a/,Allowance including trim; replace with drawing-derived length,"Prototype allowance 20 ft per module, trim after panel drawings.","sold by the foot; trimmed by hand, no machining"
BN-M05,TNUTZ-BUM010TS,ORDERABLE,OTS_STOCK,TNUTZ,BUM-010-TS,10-Series anti-skid rubber tread strip,8,ft,https://www.tnutz.com/product/bum-010-ts/,https://www.tnutz.com/product/bum-010-ts/,Allowance for lower perimeter,Prototype allowance 8 ft per module; verify vehicle-floor compatibility.,"sold by the foot; trimmed by hand, no machining"
BN-M05,TAP-HYPACT-PANEL,ORDERABLE_CUSTOM_CUT,CUSTOM_FLAT,TAP Plastics,King Hy-Pact custom cut,"Black UV-stabilized polymer sheet cut to size for skins, trays, dividers, and non-hot work surfaces",1,cut-panel lot,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/hypact_vhmw_polyethylene/527,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/hypact_vhmw_polyethylene/527,Order only from released DXF/panel drawings,Upload final panel dimensions and holes only after tolerance drawings; thickness is module-specific.,flat sheet cut to size from a released DXF; satisfies the standing flat-plate rule
BN-M05,RELIANCE-AQUATAINER-7G,DEALER_ORDER,OTS_STOCK,Reliance Outdoors,9410-03R,7-gallon Aqua-Tainer potable-water container,1,pc,https://relianceoutdoors.com/collections/aqua-storage/products/aqua-tainer-4g-15l,https://relianceoutdoors.com/collections/aqua-storage/products/aqua-tainer-4g-15l,Potable-water container,Manufacturer no longer sells direct; use its dealer locator. Full water mass is approximately 58 lb before container/hardware.,consumer container bought whole
BN-M05,SHURFLO-4008,DEALER_ORDER_ENGINEERING_HOLD,OTS_STOCK,Pentair Shurflo,4008-101-E65,12V 3-GPM Revolution fresh-water demand pump,1,pc,https://www.pentair.com/en-us/flow/shurflo/shurflo-products/shurflo-rv-applications/water-delivery-pumps/shurflo-revolution-4008-series-by-pass-pump/sku/4008-101-e65.html,https://www.pentair.com/en-us/flow/shurflo/shurflo-products/shurflo-rv-applications/water-delivery-pumps/shurflo-revolution-4008-series-by-pass-pump/sku/4008-101-e65.html,Demand pump; install accessories remain schematic-dependent,"Requires flexible high-pressure hose, 10-A fuse, 12V wiring, connectors, and pressure-compatible plumbing selected after schematic review.",catalogue pump
BN-M05,NRS-HD-STRAP,ORDERABLE_ENGINEERING_HOLD,OTS_STOCK,NRS,1-inch HD Tie-Down Strap,UV-protected one-inch polypropylene cam strap; select field-fit length,2,pc,https://www.nrs.com/nrs-1-hd-tie-down-straps/p4yc,https://www.nrs.com/nrs-1-hd-tie-down-straps/p4yc,Full-tank restraint,"Published 500-lb WLL, but module anchor/load path still requires engineering and dynamic testing.",catalogue cam strap
BN-M06,TNUTZ-EX1010-18,ORDERABLE,OTS_STOCK,TNUTZ,EX-1010,"1 x 1 inch smooth 10-Series aluminum extrusion, cut to 18 inches",8,pc,https://www.tnutz.com/product/ex-1010/,https://www.tnutz.com/product/ex-1010/,Exact 18-inch cut; no machining for bracket prototype,"Select 18-inch length, no machining; 8 per module.","orderable length from the product dropdown (1-96 in, 1/16 in steps); no saw, no cut fee shown"
BN-M06,TNUTZ-EX1010-22,ORDERABLE,OTS_STOCK,TNUTZ,EX-1010,"1 x 1 inch smooth 10-Series aluminum extrusion, cut to 22 inches",4,pc,https://www.tnutz.com/product/ex-1010/,https://www.tnutz.com/product/ex-1010/,Exact 22-inch cut; no machining for bracket prototype,"Select 22-inch length, no machining; 4 per module.",same dropdown; 22 in is a catalogue selection
BN-M06,8020-4132,ENGINEERING_HOLD,OTS_STOCK,80/20,4132,10-Series black gusseted inside corner bracket,24,pc,https://8020.net/4132.html,https://8020.net/4132.html,Prototype quantity only; joint release requires dynamic test,Prototype joint candidate; 24 per frame. Dynamic-load test required.,"catalogue bracket, buy as-is"
BN-M06,8020-3393,ENGINEERING_HOLD,OTS_STOCK,80/20,3393,1/4-20 x 0.500 inch bolt and slide-in economy T-nut assembly for bracket 4132,48,pc,https://8020.net/3393.html,https://8020.net/3393.html,Two compatible assemblies per 4132 bracket,Two assemblies per 4132 bracket; 48 per frame.,"catalogue fastener assembly, buy as-is"
BN-M06,TNUTZ-HAN015AL,ORDERABLE_CHECK_STOCK,OTS_STOCK,TNUTZ,HAN-015-AL,Black aluminum carry handle with 10-Series mounting hardware,2,pc,https://www.tnutz.com/product/han-015-al/,https://www.tnutz.com/product/han-015-al/,Carry handles are not authorized for a loaded lift until tested,Two per module; obtain current load rating before lifting a loaded module.,catalogue handle with its mounting hardware
BN-M06,TNUTZ-GAS010A,ORDERABLE,OTS_STOCK,TNUTZ,GAS-010-A,10-Series panel gasket for approximately 3/16-inch panels,20,ft,https://www.tnutz.com/product/gas-010-a/,https://www.tnutz.com/product/gas-010-a/,Allowance including trim; replace with drawing-derived length,"Prototype allowance 20 ft per module, trim after panel drawings.","sold by the foot; trimmed by hand, no machining"
BN-M06,TNUTZ-BUM010TS,ORDERABLE,OTS_STOCK,TNUTZ,BUM-010-TS,10-Series anti-skid rubber tread strip,8,ft,https://www.tnutz.com/product/bum-010-ts/,https://www.tnutz.com/product/bum-010-ts/,Allowance for lower perimeter,Prototype allowance 8 ft per module; verify vehicle-floor compatibility.,"sold by the foot; trimmed by hand, no machining"
BN-M06,TAP-HYPACT-PANEL,ORDERABLE_CUSTOM_CUT,CUSTOM_FLAT,TAP Plastics,King Hy-Pact custom cut,"Black UV-stabilized polymer sheet cut to size for skins, trays, dividers, and non-hot work surfaces",1,cut-panel lot,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/hypact_vhmw_polyethylene/527,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/hypact_vhmw_polyethylene/527,Order only from released DXF/panel drawings,Upload final panel dimensions and holes only after tolerance drawings; thickness is module-specific.,flat sheet cut to size from a released DXF; satisfies the standing flat-plate rule
BN-M06,PELICAN-1450,ORDERABLE,OTS_STOCK,Pelican,1450-000-110,1450 Protector Case with foam,1,pc,https://www.pelican.com/us/en/product/cases/1450,https://www.pelican.com/us/en/product/cases/1450,Recovery/tool case,Recovery payload and drawer mounting remain prototype tests.,catalogue case
